Bestandeseinheit,Baumart,Baumnummer,D_1984,Aus_1984,H_1984,D_1995,Aus_1995,H_1995,D_2006,Aus_2006,H_2006,D_2013,Aus_2013,H_2013
2,Ofi,365,10.6,NA,NA,14.8,NA,17.0,16.0,7,NA,NA,NA,NA
2,Ofi,366,9.9,NA,NA,12.8,NA,NA,14.0,7,NA,NA,NA,NA
2,Ofi,367,10.5,NA,NA,13.6,NA,NA,15.1,1,NA,NA,NA,NA
2,Ofi,368,8.8,NA,NA,8.6,NA,NA,9.5,NA,NA,10.4,NA,NA
2,Ofi,369,9.1,NA,NA,9.9,1,NA,NA,NA,NA,NA,NA,NA
2,Ofi,370,10.8,NA,NA,15.8,NA,NA,16.5,7,NA,NA,NA,NA
2,Ofi,371,6.4,NA,NA,8.1,7,NA,NA,NA,NA,NA,NA,NA
2,Ofi,372,9.4,NA,NA,12.7,NA,NA,13.0,7,NA,NA,NA,NA
2,Ofi,373,6.5,NA,NA,7.0,7,NA,NA,NA,NA,NA,NA,NA
2,Ofi,374,11.3,NA,NA,14.8,NA,NA,15.5,7,NA,NA,NA,NA
2,Ofi,375,6.4,NA,NA,6.6,5,NA,NA,NA,NA,NA,NA,NA
2,Ofi,376,10.6,NA,NA,13.8,NA,NA,16.4,1,NA,NA,NA,NA
2,Ofi,377,8.3,NA,NA,10.8,NA,NA,10.8,7,10.8,NA,NA,NA
2,Ofi,378,10.4,NA,NA,14.4,NA,NA,16.5,NA,NA,17.5,NA,NA
2,Ofi,379,9.8,NA,NA,13.5,NA,14.8,14.0,7,NA,NA,NA,NA
2,Ofi,380,9.6,NA,NA,12.0,NA,12.8,12.0,7,NA,NA,NA,NA
2,Ofi,381,10.2,NA,NA,12.9,NA,NA,13.5,7,NA,NA,NA,NA
2,Ofi,382,12.4,NA,NA,16.2,NA,NA,17.5,7,NA,NA,NA,NA
2,Ofi,383,11.0,NA,NA,13.2,NA,NA,13.5,7,NA,NA,NA,NA
2,Ofi,384,12.0,NA,NA,15.4,NA,NA,17.0,7,NA,NA,NA,NA
2,Ofi,385,7.5,NA,NA,7.3,5,NA,NA,NA,NA,NA,NA,NA
2,Ofi,386,6.9,NA,NA,6.8,5,NA,NA,NA,NA,NA,NA,NA
2,Ofi,387,12.2,NA,NA,15.2,NA,NA,16.9,1,NA,NA,NA,NA
2,Ofi,388,8.0,NA,NA,11.8,1,NA,NA,NA,NA,NA,NA,NA
1,Dgl,389,12.0,NA,NA,18.3,NA,18.5,29.4,NA,NA,44.7,NA,30.4
2,Ofi,390,9.0,NA,NA,11.6,NA,NA,12.5,7,NA,NA,NA,NA
2,Ofi,391,11.2,NA,NA,16.1,NA,NA,19.5,NA,NA,21.0,NA,NA
2,Ofi,392,9.7,NA,NA,11.3,NA,NA,12.0,7,NA,NA,NA,NA
2,Ofi,393,12.4,NA,NA,16.9,NA,NA,20.9,NA,NA,21.9,NA,NA
2,Ofi,394,12.6,NA,NA,16.4,NA,NA,17.0,NA,NA,19.5,NA,NA
2,Ofi,395,8.8,NA,NA,8.8,6,NA,NA,NA,NA,NA,NA,NA
2,Ofi,396,5.8,NA,NA,10.9,NA,NA,16.8,1,NA,NA,NA,NA
2,Ofi,397,4.5,NA,NA,5.5,7,NA,NA,NA,NA,NA,NA,NA
