Bestandeseinheit,Baumart,Baumnummer,D_1960,Aus_1960,H_1960,D_1967,Aus_1967,H_1967,D_1975,Aus_1975,H_1975,D_1985,Aus_1985,H_1985,D_1995,Aus_1995,H_1995,D_2002,Aus_2002,H_2002,D_2005,Aus_2005,H_2005,D_2009,Aus_2009,H_2009,D_2015,Aus_2015,H_2015
1,Bu,31601,9.1,NA,NA,9.3,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1,Bu,31602,8.0,NA,NA,8.1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
3,Ah,31603,18.1,NA,NA,18.4,NA,NA,18.6,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
3,Ah,31604,36.2,NA,NA,37.7,NA,NA,40.2,NA,27.0,42.2,NA,28.6,44.4,NA,31.4,44.8,NA,NA,45.0,NA,NA,45.6,NA,NA,46.8,NA,NA
1,Bu,31605,22.2,NA,NA,23.8,NA,NA,27.0,NA,31.0,30.2,NA,32.1,33.6,NA,33.1,35.3,NA,NA,36.1,NA,NA,37.7,NA,NA,39.7,NA,34.3
1,Bu,31606,18.8,NA,NA,19.0,NA,NA,19.0,NA,NA,19.2,NA,NA,19.4,NA,NA,19.4,7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2,Es,91001,22.4,NA,21.5,23.5,NA,NA,25.3,7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1,Bu,91002,7.5,NA,NA,7.5,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2,Es,91003,17.2,NA,19.5,18.1,7,21.6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1,Bu,91004,8.4,NA,NA,8.5,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1,Bu,91005,22.1,NA,23.5,24.5,NA,NA,27.4,NA,NA,31.3,NA,NA,35.4,NA,NA,37.7,NA,NA,38.2,NA,NA,39.4,NA,NA,41.0,2,NA
1,Bu,91006,17.2,NA,NA,17.7,NA,NA,18.7,NA,NA,19.8,NA,NA,20.6,NA,NA,20.7,NA,NA,20.8,NA,NA,20.8,NA,NA,21.6,NA,NA
1,Bu,91007,23.6,NA,NA,26.4,NA,NA,26.4,NA,NA,35.4,NA,NA,41.1,NA,NA,45.2,NA,NA,46.2,NA,NA,47.7,NA,NA,50.6,NA,NA
1,Bu,91008,23.8,NA,NA,25.2,NA,NA,27.5,7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2,Es,91101,18.7,NA,18.5,20.5,NA,NA,23.8,NA,26.5,26.4,NA,NA,29.4,NA,NA,31.4,NA,NA,32.3,NA,NA,33.3,NA,NA,35.0,NA,NA
2,Es,91102,14.0,NA,18.0,14.5,7,21.0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2,Es,91103,24.8,NA,20.0,26.8,NA,NA,30.4,NA,27.5,35.7,NA,NA,40.6,NA,NA,43.7,NA,NA,45.1,NA,NA,46.0,NA,NA,48.4,NA,NA
1,Bu,91104,8.9,NA,NA,8.9,NA,NA,9.0,NA,NA,9.3,NA,NA,9.7,NA,NA,9.7,NA,NA,9.7,NA,NA,9.7,5,NA,NA,NA,NA
1,Bu,91105,37.2,NA,NA,42.2,NA,NA,49.4,7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1,Bu,91106,14.6,NA,NA,15.0,NA,NA,15.6,NA,NA,16.2,NA,NA,18.1,NA,NA,18.6,NA,NA,18.8,NA,NA,19.3,NA,NA,20.4,NA,NA
1,Bu,91107,10.2,NA,NA,10.3,NA,NA,10.4,NA,NA,11.1,NA,NA,11.8,NA,NA,12.1,NA,NA,12.0,NA,NA,12.0,NA,NA,12.6,NA,NA
1,Bu,91108,19.6,NA,NA,20.9,NA,NA,22.0,NA,NA,24.0,NA,NA,25.6,NA,NA,26.3,NA,NA,26.4,NA,NA,26.5,NA,NA,27.3,NA,25.3
1,Bu,91109,20.0,NA,NA,21.5,NA,NA,23.8,NA,NA,26.4,NA,NA,30.7,NA,NA,33.7,NA,NA,34.6,NA,NA,36.5,NA,NA,39.2,NA,31.7
1,Bu,91110,12.6,NA,NA,13.1,NA,NA,14.0,NA,NA,14.9,NA,NA,15.6,NA,NA,15.7,NA,NA,15.6,NA,NA,15.9,NA,NA,16.6,NA,NA
1,Bu,91201,9.9,NA,NA,10.0,NA,NA,9.9,NA,NA,10.6,NA,NA,13.2,NA,NA,14.0,NA,NA,14.9,NA,NA,15.5,NA,NA,17.2,NA,NA
1,Bu,91202,29.4,NA,NA,33.9,NA,NA,37.8,NA,NA,43.1,7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
