Bestandeseinheit,Baumart,Baumnummer,D_1955,Aus_1955,H_1955,D_1959,Aus_1959,H_1959,D_1966,Aus_1966,H_1966,D_1975,Aus_1975,H_1975,D_1985,Aus_1985,H_1985,D_1995,Aus_1995,H_1995,D_1996,Aus_1996,H_1996,D_2002,Aus_2002,H_2002,D_2005,Aus_2005,H_2005,D_2009,Aus_2009,H_2009,D_2014,Aus_2014,H_2014
6,Bu,319,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.3,NA,1.6,0.7,NA,NA,0.9,NA,NA,0.8,NA,NA,0.9,NA,NA
6,Bu,320,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.2,NA,1.6,0.6,NA,NA,1.0,NA,NA,1.0,NA,NA,1.3,NA,NA
6,Bu,321,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.2,NA,1.6,0.4,NA,NA,0.5,NA,NA,0.5,NA,NA,0.5,NA,NA
6,Bu,322,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.9,NA,2.3,1.5,NA,NA,2.9,NA,NA,4.0,NA,NA,5.3,NA,NA
6,Bu,323,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.1,NA,1.4,0.4,NA,NA,0.4,NA,NA,0.4,NA,NA,0.6,NA,NA
6,Bu,324,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.2,NA,1.5,0.6,NA,NA,0.9,NA,NA,0.9,NA,NA,0.8,NA,NA
6,Bu,325,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.0,NA,2.9,1.8,NA,NA,2.4,NA,NA,3.0,NA,NA,3.4,NA,NA
6,Bu,326,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.6,NA,2.0,0.6,NA,NA,0.8,NA,NA,0.8,NA,NA,1.0,NA,NA
6,Bu,327,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.1,5,1.4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
6,Bu,328,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.5,NA,1.8,0.8,NA,NA,1.2,NA,NA,1.3,NA,NA,1.3,NA,NA
6,Bu,329,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.0,NA,3.5,2.9,NA,NA,4.5,NA,NA,5.8,NA,NA,6.9,NA,NA
6,Bu,331,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.2,NA,1.4,0.4,NA,NA,0.6,NA,NA,0.8,NA,NA,1.2,NA,NA
6,Bu,332,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.1,NA,1.5,0.5,NA,NA,0.9,NA,NA,1.2,NA,NA,1.1,NA,NA
6,Bu,333,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.1,5,1.4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
6,Bu,334,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.3,NA,2.8,1.7,NA,NA,2.5,NA,NA,3.5,NA,NA,4.5,NA,NA
