Bestandeseinheit,Baumart,Baumnummer,D_1957,Aus_1957,H_1957,D_1963,Aus_1963,H_1963,D_1972,Aus_1972,H_1972,D_1982,Aus_1982,H_1982,D_1992,Aus_1992,H_1992,D_2000,Aus_2000,H_2000,D_2008,Aus_2008,H_2008,D_2016,Aus_2016,H_2016
1,Bu,1004,11.0,NA,NA,11.3,NA,NA,11.6,NA,NA,12.1,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1,Bu,1005,17.7,NA,NA,20.0,NA,NA,23.5,NA,NA,25.5,NA,25.0,27.9,7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1,Bu,1006,12.8,NA,NA,12.8,NA,NA,12.5,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1,Bu,1007,8.0,NA,NA,8.2,NA,NA,8.2,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1,Bu,1008,16.8,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1,Bu,1101,13.7,NA,NA,15.0,NA,NA,18.3,NA,NA,20.9,NA,NA,24.0,7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1,Bu,1102,20.9,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1,Bu,1103,25.2,7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1,Bu,1104,10.8,NA,NA,11.0,NA,NA,13.2,NA,NA,14.1,7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1,Bu,1105,19.4,NA,NA,20.6,NA,NA,24.7,7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1,Bu,1106,16.6,NA,NA,19.4,NA,NA,24.3,NA,NA,29.2,NA,NA,35.2,NA,NA,39.5,NA,NA,42.4,NA,NA,46.4,NA,NA
1,Bu,1107,10.2,NA,NA,10.2,NA,NA,10.7,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1,Bu,1108,7.2,NA,NA,7.0,7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1,Bu,1109,8.2,NA,NA,8.0,7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1,Bu,1110,16.2,NA,NA,16.8,NA,NA,19.3,NA,NA,22.3,NA,NA,25.4,NA,NA,27.9,NA,NA,29.4,NA,NA,30.9,NA,NA
1,Bu,1111,16.0,NA,NA,17.8,NA,NA,20.6,7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1,Bu,1112,11.6,NA,NA,11.5,NA,NA,11.6,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1,Bu,1113,15.7,NA,NA,17.1,NA,NA,18.8,NA,NA,21.2,NA,NA,24.8,NA,NA,27.7,NA,NA,30.2,NA,NA,32.4,NA,29.3
1,Bu,1114,16.4,NA,NA,19.0,NA,NA,22.4,7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1,Bu,1115,20.3,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1,Bu,1116,14.2,NA,NA,16.0,NA,NA,21.2,NA,NA,25.4,NA,NA,29.8,NA,NA,33.1,NA,NA,37.1,NA,29.0,40.1,NA,NA
1,Bu,1117,11.6,NA,NA,12.3,NA,NA,13.8,NA,NA,14.6,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1,Bu,1201,21.6,NA,NA,24.8,NA,NA,31.8,NA,22.7,37.2,NA,24.4,42.6,7,28.0,NA,NA,NA,NA,NA,NA,NA,NA,NA
1,Bu,1202,9.9,NA,NA,10.0,NA,NA,9.8,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1,Bu,1203,18.2,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1,Bu,1204,9.0,NA,NA,9.2,NA,NA,9.4,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1,Bu,1205,11.1,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1,Bu,1206,19.6,NA,NA,21.0,NA,NA,27.3,NA,NA,30.4,NA,NA,34.0,NA,NA,36.7,NA,NA,39.4,NA,28.4,41.9,NA,NA
1,Bu,1207,11.4,NA,NA,11.2,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1,Bu,1208,17.1,NA,NA,19.0,NA,NA,22.1,NA,NA,25.0,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1,Bu,1209,8.8,NA,NA,9.0,NA,NA,9.6,NA,NA,10.3,NA,NA,10.7,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1,Bu,1210,15.3,NA,NA,17.0,NA,NA,20.5,NA,NA,23.0,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1,Bu,1211,18.7,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1,Bu,1212,13.6,NA,NA,15.4,NA,NA,19.0,NA,21.9,21.2,7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1,Bu,1213,11.2,NA,NA,12.0,NA,NA,13.1,NA,NA,13.2,NA,NA,13.3,NA,NA,13.3,NA,NA,14.0,NA,NA,15.4,NA,NA
1,Bu,1214,7.6,7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1,Bu,1215,12.6,NA,NA,14.0,NA,18.9,16.6,NA,NA,18.7,7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1,Bu,1216,10.0,NA,NA,9.8,NA,NA,9.8,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1,Bu,1217,19.6,NA,NA,22.6,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1,Bu,1218,8.8,NA,NA,8.9,NA,NA,9.3,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1,Bu,1219,17.8,NA,NA,20.4,NA,NA,23.6,NA,NA,26.8,NA,NA,29.6,NA,NA,31.6,NA,NA,33.8,2,NA,NA,NA,NA
1,Bu,1301,5.6,NA,NA,5.7,7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1,Bu,1302,13.8,NA,NA,16.5,NA,NA,20.2,NA,NA,23.6,NA,NA,27.5,NA,NA,30.6,3,NA,NA,NA,NA,NA,NA,NA
