Bestandeseinheit,Baumart,Baumnummer,D_1972,Aus_1972,H_1972,D_1981,Aus_1981,H_1981,D_1993,Aus_1993,H_1993,D_2001,Aus_2001,H_2001,D_2011,Aus_2011,H_2011,D_2017,Aus_2017,H_2017
1,Bu,91,14.0,NA,NA,15.6,NA,NA,17.4,7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1,Bu,92,17.2,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1,Bu,93,13.4,NA,NA,13.8,NA,NA,14.9,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1,Bu,94,19.5,NA,NA,22.8,NA,NA,27.6,NA,26.8,28.9,NA,23.4,32.5,1,35.1,NA,NA,NA
1,Bu,95,10.6,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1,Bu,96,15.9,NA,19.4,16.4,NA,NA,17.9,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1,Bu,97,10.9,NA,NA,11.0,NA,NA,11.3,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1,Bu,98,9.0,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1,Bu,99,18.5,NA,21.6,23.5,NA,NA,31.8,NA,NA,35.2,NA,NA,38.8,NA,NA,41.7,NA,NA
1,Bu,100,11.2,NA,18.0,11.4,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1,Bu,101,9.1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1,Bu,102,12.8,NA,NA,13.1,NA,NA,13.3,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1,Bu,103,13.5,NA,19.9,15.0,NA,23.4,17.0,2,26.9,NA,NA,NA,NA,NA,NA,NA,NA,NA
1,Bu,104,17.5,NA,NA,19.8,6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1,Bu,105,7.6,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1,Bu,106,17.4,NA,NA,20.2,NA,NA,26.1,NA,NA,29.5,NA,NA,35.0,NA,NA,37.5,2,NA
1,Bu,107,9.7,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1,Bu,108,9.7,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1,Bu,109,16.0,NA,20.1,20.3,NA,25.0,26.3,2,28.3,NA,NA,NA,NA,NA,NA,NA,NA,NA
1,Bu,110,10.0,NA,NA,10.3,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1,Bu,111,10.7,NA,NA,10.7,NA,NA,10.9,NA,NA,10.9,NA,NA,11.8,NA,NA,13.6,NA,NA
1,Bu,112,15.0,NA,NA,17.0,6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1,Bu,113,7.9,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1,Bu,114,16.6,NA,NA,20.1,NA,NA,25.3,NA,NA,28.3,2,NA,NA,NA,NA,NA,NA,NA
