Exportierte Tabelle Messdaten Durchmesser / Höhen
Versuchsflächendatenbank vom 10.12.2022  15:02:44
Nutzer    : ---

Forstamt  : 44   Schönheide
Revier    : Hundshübel
Versuch   : 14607
Parzelle  : 04
Teilfläche: 112 a2
Standort  : Mf-Z3
Höhenlage : 680



Aufnahme	Aufnahme	Aufnahme	24.07.1984	24.07.1984	24.07.1984	12.09.1995	12.09.1995	12.09.1995	10.11.2006	10.11.2006	10.11.2006	03.12.2013	03.12.2013	03.12.2013	
Wert	Wert	Wert	D	Aus	H	D	Aus	H	D	Aus	H	D	Aus	H	
Einheit	Einheit	Einheit	cm		m	cm		m	cm		m	cm		m	
Bst.-E.	Art	Baum	370	14	38	356	99	47	257	143	28	114	0	42	
2	Ofi	309	11,8			14,9			17,0	1					
2	Ofi	310	12,5			17,5			20,5	7					
2	Ofi	311	5,0			5,4	6								
2	Ofi	312	12,7			17,9			21,5			24,0		23,0	
2	Ofi	313	5,1			6,4	7								
2	Ofi	314	10,2			15,6			19,7	1	21,1				
2	Ofi	315	11,9			17,4			19,3	1					
2	Ofi	316	9,1			9,4	4								
2	Ofi	317	7,5	1											
2	Ofi	318	10,4		9,5	10,8	5								
2	Ofi	319	9,4			14,5		15,0	17,5	7	19,9				
2	Ofi	320	9,9			12,6		12,5	14,5	7					
2	Ofi	321	11,3		9,5	16,5		16,0	19,5			21,4			
2	Ofi	322	11,2		9,5	15,1		15,7	17,5	1					
2	Ofi	323	9,8			13,7			16,0	7	17,6				
2	Ofi	324	11,6			16,2			19,0	7					
2	Ofi	325	9,5			12,2	7	13,0							
2	Ofi	326	8,4		9,0	10,6			15,0	7					
2	Ofi	327	8,5			9,7	6								
2	Ofi	328	10,0			14,0			17,5			21,2		21,0	
2	Ofi	329	12,0		10,0	18,3		15,5	22,9		20,3	25,9		22,5	
2	Ofi	330	9,4		9,0	12,9		14,0	15,0	7					
2	Ofi	331	12,0			15,9			17,5	7					
2	Ofi	332	8,3			9,2	4								
2	Ofi	333	7,9			11,5			15,5	7					
2	Ofi	334	10,1			13,6			16,5	7					
2	Ofi	335	11,0			14,9		14,7	15,7			16,8			
2	Ofi	336	7,8			8,7	6								
2	Ofi	337	10,3			13,2			15,3			16,8			
2	Ofi	338	12,4			14,5			17,5	7					
2	Ofi	339	8,9			11,9			12,7			13,5			
2	Ofi	340	12,0			16,8			19,9			22,0		22,9	
2	Ofi	341	9,3			13,1			16,1			17,6		22,1	
2	Ofi	342	10,2			13,3			16,5	7					
2	Ofi	343	12,0			17,1			18,8			21,2			
2	Ofi	344	9,5			15,3		14,5	19,3			21,0			
2	Ofi	345	10,2			14,2			17,2			19,4			
2	Ofi	346	12,4			16,2		13,5	18,8			20,7		20,3	
2	Ofi	347	13,5			18,1			22,3		20,1	26,0		22,0	
2	Ofi	348	7,8		9,0	11,1		13,5	14,5	7					
2	Ofi	349	15,0			20,7		15,8	24,9	1	21,0				
