Bestandeseinheit,Baumart,Baumnummer,D_1958,Aus_1958,H_1958,D_1964,Aus_1964,H_1964,D_1974,Aus_1974,H_1974,D_1981,Aus_1981,H_1981,D_1992,Aus_1992,H_1992,D_2001,Aus_2001,H_2001,D_2008,Aus_2008,H_2008,D_2011,Aus_2011,H_2011,D_2015,Aus_2015,H_2015
1,Bu,100,18.5,NA,NA,19.4,NA,NA,19.7,NA,NA,19.8,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1,Bu,101,14.5,NA,NA,15.8,NA,NA,17.9,NA,NA,18.7,NA,23.0,19.5,NA,28.5,19.2,1,28.8,NA,NA,NA,NA,NA,NA,NA,NA,NA
1,Bu,102,11.4,NA,NA,12.0,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1,Bu,103,9.3,NA,NA,9.5,NA,NA,9.4,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1,Bu,104,19.9,NA,NA,23.4,NA,22.0,29.5,NA,NA,33.2,NA,31.5,39.2,NA,NA,44.1,NA,NA,46.8,NA,NA,46.8,NA,NA,49.3,NA,NA
2,Ah,105,9.4,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2,Ah,106,15.9,NA,NA,16.2,NA,NA,16.5,NA,NA,16.6,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1,Bu,107,15.4,NA,NA,15.4,NA,NA,15.6,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1,Bu,108,24.2,NA,NA,28.6,NA,23.5,35.2,NA,NA,38.6,NA,32.0,43.3,NA,32.5,46.3,NA,36.4,47.6,NA,39.4,48.0,NA,38.9,49.0,NA,38.7
1,Bu,109,18.2,NA,NA,19.0,NA,NA,19.1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1,Bu,110,14.8,NA,NA,17.0,NA,NA,20.9,NA,NA,23.0,NA,25.3,26.5,NA,32.0,28.8,NA,NA,29.9,NA,NA,30.0,NA,NA,30.7,NA,33.8
1,Bu,111,8.2,NA,NA,8.3,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1,Bu,112,13.5,NA,NA,13.8,NA,NA,13.7,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1,Bu,113,17.1,NA,NA,19.1,NA,NA,22.4,NA,NA,24.2,NA,NA,26.9,NA,NA,28.0,NA,NA,28.7,NA,NA,28.5,NA,NA,28.9,NA,NA
1,Bu,114,11.8,NA,NA,12.6,NA,NA,13.0,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1,Bu,115,10.8,NA,NA,11.0,NA,NA,10.9,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1,Bu,116,11.4,NA,NA,11.8,NA,NA,11.8,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1,Bu,117,21.1,NA,NA,24.0,NA,20.0,28.8,NA,NA,31.6,NA,NA,36.1,NA,NA,38.9,NA,NA,41.2,NA,NA,41.5,NA,NA,42.5,NA,NA
1,Bu,118,8.4,NA,NA,8.4,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1,Bu,119,16.8,NA,NA,18.2,NA,21.0,19.0,NA,NA,19.0,5,24.0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1,Bu,120,16.2,NA,21.5,18.4,NA,21.5,21.6,NA,NA,22.8,NA,22.5,25.2,NA,27.5,27.0,NA,NA,27.8,NA,NA,28.0,NA,NA,28.5,NA,NA
1,Bu,121,9.6,NA,NA,9.8,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1,Bu,122,14.0,NA,NA,15.6,NA,NA,17.1,NA,NA,17.2,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1,Bu,123,8.4,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1,Bu,124,9.4,NA,NA,10.0,NA,NA,10.0,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1,Bu,125,10.1,NA,NA,10.5,NA,NA,10.3,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1,Bu,126,17.2,NA,NA,19.2,NA,NA,21.3,NA,NA,21.8,NA,NA,22.7,NA,NA,22.9,NA,NA,22.8,6,NA,NA,NA,NA,NA,NA,NA
1,Bu,127,8.6,NA,NA,9.0,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1,Bu,128,10.8,NA,NA,11.2,NA,NA,11.0,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1,Bu,129,14.6,NA,NA,16.6,NA,NA,19.3,NA,NA,20.6,NA,24.0,23.2,NA,NA,24.9,NA,NA,26.5,NA,NA,26.8,NA,NA,27.5,NA,NA
1,Bu,130,11.6,NA,15.5,12.6,NA,NA,12.8,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1,Bu,131,18.6,NA,20.0,20.8,NA,NA,22.6,NA,NA,23.0,NA,NA,24.3,NA,NA,24.7,NA,NA,24.6,NA,NA,24.0,NA,NA,24.6,NA,NA
1,Bu,132,17.0,NA,NA,19.6,NA,NA,23.1,NA,NA,25.0,NA,NA,27.9,NA,NA,30.0,NA,NA,31.7,NA,NA,32.3,NA,NA,33.3,NA,NA
1,Bu,133,8.2,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1,Bu,134,9.0,NA,NA,9.3,NA,NA,9.1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1,Bu,135,18.1,NA,NA,20.7,NA,NA,23.9,NA,NA,27.2,NA,NA,30.7,NA,NA,32.9,NA,NA,34.7,NA,NA,34.8,NA,NA,35.9,NA,NA
1,Bu,136,15.2,NA,NA,16.9,NA,NA,18.4,NA,NA,18.4,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1,Bu,137,15.2,NA,NA,18.0,NA,NA,21.8,NA,NA,24.6,NA,NA,28.0,NA,NA,29.7,NA,NA,30.7,NA,NA,30.8,NA,NA,31.9,NA,NA
1,Bu,138,12.8,NA,NA,13.2,NA,NA,12.5,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
