Aufnahme	Aufnahme	Aufnahme	21.08.1988	21.08.1988	21.08.1988	21.08.1988	21.08.1988	21.08.1988	21.08.1988	21.08.1988	21.08.1988	21.08.1988	21.08.1988	21.08.1988	21.08.1988	21.08.1988	21.08.1988	21.08.1988	02.09.1998	02.09.1998	02.09.1998	02.09.1998	02.09.1998	02.09.1998	02.09.1998	02.09.1998	02.09.1998	02.09.1998	02.09.1998	02.09.1998	02.09.1998	02.09.1998	02.09.1998	02.09.1998	26.10.2005	26.10.2005	26.10.2005	26.10.2005	26.10.2005	26.10.2005	26.10.2005	26.10.2005	26.10.2005	26.10.2005	26.10.2005	26.10.2005	26.10.2005	26.10.2005	26.10.2005	26.10.2005	07.10.2011	07.10.2011	07.10.2011	07.10.2011	07.10.2011	07.10.2011	07.10.2011	07.10.2011	07.10.2011	07.10.2011	07.10.2011	07.10.2011	07.10.2011	07.10.2011	07.10.2011	07.10.2011	17.09.2020	17.09.2020	17.09.2020	17.09.2020	17.09.2020	17.09.2020	17.09.2020	17.09.2020	17.09.2020	17.09.2020	17.09.2020	17.09.2020	17.09.2020	17.09.2020	17.09.2020	17.09.2020	
Wert	Wert	Wert	D	Typ	MH	Aus	NVP	Bruch	Sonst	Klass	ZSt.	H	Typ	K	H-BHK	Typ	H-Mod	Typ	D	Typ	MH	Aus	NVP	Bruch	Sonst	Klass	ZSt.	H	Typ	K	H-BHK	Typ	H-Mod	Typ	D	Typ	MH	Aus	NVP	Bruch	Sonst	Klass	ZSt.	H	Typ	K	H-BHK	Typ	H-Mod	Typ	D	Typ	MH	Aus	NVP	Bruch	Sonst	Klass	ZSt.	H	Typ	K	H-BHK	Typ	H-Mod	Typ	D	Typ	MH	Aus	NVP	Bruch	Sonst	Klass	ZSt.	H	Typ	K	H-BHK	Typ	H-Mod	Typ	
Einheit	Einheit	Einheit	cm		cm		%				J/N	m		m	m		m		cm		cm		%				J/N	m		m	m		m		cm		cm		%				J/N	m		m	m		m		cm		cm		%				J/N	m		m	m		m		cm		cm		%				J/N	m		m	m		m		
Bst.-E.	Art	Baum	402			41		0	121		402	29		0	402		0		361			181		0	99		361	38		0	361		0		180			17		0	0		180	9		0	180		0		163			74		5	0		163	10		0	163		0		89			0		0	0		89	0		0	0		0		
1	Ei	66	11,8	2	130		0			0	N		 		15,30	3			16,1	2	130		0			0	N		 		18,40	3			21,2	0	0		0			0	N		 		21,70	3			23,2	3	0		0			0	N		 		23,80	3			26,8	3	130		0			0	N		 						
1	Ei	67	14,7	2	130		0			0	N		 		16,70	3			19,0	2	130		0			0	N		 		19,80	3			20,5	0	0		0			0	N		 		21,40	3			22,8	3	0	2	0			0	N		 		23,70	3																			
1	Ei	68	15,3	2	130		0			0	N	16,9	2		16,90	3			20,0	2	130		0			0	J	20,8	4		20,20	3			24,8	0	0		0			0	J	21,5	 		22,90	3			29,6	3	0		0			0	J		 		25,20	3			34,5	3	130		0			0	N		 						
1	Ei	69	17,7	2	130		0			0	N		 		17,80	3			20,4	2	130	3	0			0	N		 		20,40	3																																																			
1	Ei	70	18,5	2	130		0			0	N		 		18,00	3			25,1	2	130		0			0	J	21,3	4		21,90	3			27,9	0	0		0			0	J	24,0	 		23,70	3			30,0	3	0		0			0	J		 		25,20	3			31,6	3	130		0			0	N		 						
1	Ei	71	8,1	2	130		0		piz a	0	N		 		12,60	3			10,3	2	130		0		piz a	0	N		 		14,00	3			12,0	0	0		0			0	N		 		16,40	3			14,0	3	130	1	0			0	N		 		20,30	3																			
1	Ei	72	6,5	2	130		0		krumm	0	N		 		10,80	3			7,2	2	130		0		krumm	0	N		 		10,20	3			7,6	0	0		0			0	N		 		11,40	3			12,5	3	130	1	0			0	N		 		19,30	3																			
1	Ei	73	7,8	2	130		0			0	N		 		12,30	3			9,2	2	130		0			0	N		 		12,80	3			11,1	0	0		0			0	N		 		15,60	3			11,5	3	0		0			0	N		 		18,60	3			13,2	3	130		0			0	N		 						
1	Ei	74	16,9	2	130		0			0	N		 		17,50	3			17,5	2	130	5	0			0	N		 		19,10	3																																																			
1	Ei	75	16,4	2	130		0			0	J		 		17,30	3			22,0	2	130	3	0			0	J		 		20,90	3																																																			
1	Ei	76	20,1	2	130		0			0	N		 		18,40	3			26,7	2	130		0			0	J	22,7	4		22,30	3			31,3	0	0		0			0	J		 		24,40	3			36,3	3	0		0			0	J		 		26,10	3			41,6	3	130		0			0	N		 						
1	Ei	77	12,8	2	130		0			0	N		 		15,90	3			16,1	2	130		0			0	N		 		18,40	3			16,5	0	0	5	0			0	N		 		19,50	3																																			
1	Ei	78	8,1	2	130		0			0	N		 		12,60	3			8,1	2	130	5	0			0	N		 		11,40	3																																																			
1	Ei	79	7,7	2	130		0		krumm	0	N		 		12,20	3			9,1	2	130		0		krumm	0	N		 		12,70	3			8,9	0	0	5	0			0	N		 		13,10	3																																			
1	Ei	80	10,4	2	130		0			0	N		 		14,50	3			13,6	2	130		0			0	N		 		16,80	3			14,7	0	0		0			0	N		 		18,40	3			15,6	3	130	1	0			0	N		 		21,20	3																			
1	Ei	81	11,6	2	130		0			0	N		 		15,20	3			15,5	2	130		0			0	N		 		18,00	3			18,2	0	0		0			0	N		 		20,40	3			20,8	3	0		0			0	N		 		23,20	3			24,3	3	130		0			0	N		 						
1	Ei	82	12,3	2	130		0			0	N		 		15,60	3			13,2	2	130	5	0			0	N		 		16,50	3																																																			
1	Ei	83	13,0	2	130		0			0	N		 		16,00	3			15,6	2	130		0			0	N		 		18,10	3			16,9	0	0		0			0	N		 		19,70	3			18,0	3	0	2	0			0	N		 		22,20	3																			
1	Ei	84	11,4	2	130		0			0	N		 		15,10	3			11,6	2	130	5	0			0	N		 		15,20	3																																																			
1	Ei	85	16,0	2	130		0			0	N		 		17,20	3			19,9	2	130	3	0			0	N		 		20,20	3																																																			
1	Ei	86	8,9	2	130		0			0	N		 		13,30	3			8,8	2	130	5	0			0	N		 		12,30	3																																																			
1	Ei	87	6,4	2	130		0		krumm	0	N		 		10,70	3			5,8	2	130	5	0		krumm	0	N		 		8,00	3																																																			
1	Ei	88	12,2	2	130		0			0	N		 		15,60	3			13,9	2	130		0			0	N		 		17,00	3			15,5	0	0		0			0	N		 		18,90	3			16,3	3	130	1	0			0	N		 		21,50	3																			
1	Ei	89	7,2	2	130		0			0	N		 		11,60	3			6,4	2	130	5	0			0	N		 		9,00	3																																																			
1	Ei	90	7,7	2	130		0			0	N		 		12,20	3			9,0	2	130	5	0			0	N		 		12,50	3																																																			
1	Ei	91	7,3	2	130		0		krumm	0	N		 		11,70	3			8,6	2	130	5	0		krumm	0	N		 		12,10	3																																																			
1	Ei	92	15,9	2	130		0		s	0	N		 		17,20	3			18,1	2	130	5	0		s	0	N		 		19,40	3																																																			
1	Ei	93	10,0	2	130		0		krumm	0	N		 		14,20	3			10,0	2	130	5	0		krumm	0	N		 		13,70	3																																																			
1	Ei	94	15,2	2	130		0			0	N		 		16,90	3			18,6	2	130	3	0			0	N		 		19,60	3																																																			
1	Ei	95	8,8	2	130		0		krumm	0	N		 		13,20	3			10,0	2	130	5	0		krumm	0	N		 		13,70	3																																																			
1	Ei	96	14,3	2	130		0			0	N		 		16,60	3			17,5	2	130	5	0			0	N		 		19,10	3																																																			
1	Ei	97	18,9	2	130		0			0	N		 		18,10	3			23,8	2	130	3	0			0	N		 		21,50	3																																																			
